#   Time (s)     Flux (ppm)    Error (ppm)
1076917.9347      -42.67693      50.69196
1078683.3883      -45.29953      50.68445
1080448.8246        2.98023      50.68687
1082214.2697      -17.16614      50.68787
1083979.7233      208.37784      50.70060
1085745.1597       35.04753      50.69909
1087510.6048       -4.05312      50.69172
1089276.0499      -45.00151      50.69565
1091041.4950      -23.24581      50.69746
1092806.9401      -69.91624      50.69320
1094572.3939      116.22906      50.70202
1096337.8305     -255.40590      50.68963
1098103.2843     -218.80865      50.67787
1099868.7295      147.93872      50.70427
1101634.1661      288.00964      50.70038
1103399.6200        9.05991      50.69556
1105165.0653     -359.71402      50.69007
1106930.5019     -369.31036      50.68703
1108695.9559      105.61943      50.70331
1110461.4012      525.83215      50.69813
1112226.8552      433.92181      50.70684
1113992.2920       39.21986      50.69487
1115757.7374      -28.72944      50.69738
1117523.1915      -30.10035      50.69875
1119288.6283      138.64041      50.69366
1121054.0737       56.50520      50.69831
1122819.5278      -68.84337      50.68993
1126350.4102      -54.59785      50.69038
1128115.8644       25.63000      50.69386
1129881.3014       30.39837      50.69405
1131646.7556     -290.45343      50.68417
1133412.2012     -155.50851      50.69091
1135177.6468      -53.34616      50.69458
1136943.0925      150.44212      50.69838
1138708.5382      324.96454      50.70393
1140473.9839      329.01764      50.70009
1142239.4296      285.62546      50.69920
1144004.8753      419.49750      50.69822
1145770.3211      -52.03485      50.69154
1147535.7668     -372.23102      50.68802
1149301.2126     -278.77094      50.69156
1151066.6671      -92.44681      50.69570
1152832.1043       -3.39746      50.68683
1154597.5502      218.15300      50.70285
1156363.0047       89.04934      50.69571
1158128.4419     -130.35536      50.68818
1159893.8879     -365.49567      50.68105
1161659.3425     -189.60237      50.68814
1163424.7798      107.88441      50.69492
1165190.2344       70.21427      50.68983
1166955.6804     -329.43488      50.68944
1168721.1178     -277.93646      50.68917
1170486.5725       62.70409      50.68759
1172252.0186      254.75024      50.70089
1174017.4560      205.27840      50.69817
1175782.9108      221.49086      50.69663
1177548.3569      529.05084      50.70062
1179313.8117      246.52481      50.68779
1181079.2492      -55.73034      50.69043
1182844.6954     -392.49658      50.68447
