#BJD - 2454833   Corrected Flux
2782.771360495   0.998819165  
2782.791792168   0.998865204  
2782.812223940   0.998677301  
2782.832655513   0.999141362  
2782.853087185   0.999007991  
2782.873518958   0.998824859  
2782.893950530   0.998826100  
2782.914382203   0.998849808  
2782.934813975   0.998710592  
2782.955245548   0.998758421  
2782.975677320   0.999132666  
2782.996108992   0.999123745  
2783.016540564   0.999008186  
2783.036972337   0.998809454  
2783.057404009   0.999140601  
2783.077835681   0.998898875  
2783.098267353   0.998838297  
2783.118699026   0.998846338  
2783.139130698   0.998734139  
2783.159562370   0.999034987  
2783.179994042   0.999174593  
2783.200425614   0.999155276  
2783.220857386   0.999085807  
2783.241289058   0.998848749  
2783.261720830   0.998956727  
2783.282152402   0.998538656  
2783.302584074   0.998899550  
2783.323015846   0.998913003  
2783.343447417   0.998997278  
2783.363879089   0.998680692  
2783.384310861   0.998909565  
2783.404742433   0.999281718  
2783.425174105   0.999187710  
2783.445605876   0.998949362  
2783.466037448   0.998860443  
2783.506900892   0.998867315  
2783.527332463   0.999293547  
2783.547764235   0.999068384  
2783.568195906   0.999062371  
2783.588627578   0.998920119  
2783.609059250   0.999156776  
2783.629490921   0.999357177  
2783.649922593   0.999236811  
2783.670354264   0.999130947  
2783.690785936   0.998967725  
2783.711217707   0.998898766  
2783.731649379   0.999071865  
2783.752080950   0.999014099  
2783.772512721   0.998834077  
2783.792944293   0.998494046  
2783.813375964   0.998621833  
2783.833807735   0.998719526  
2783.854239307   0.999180863  
2783.874670978   0.998788833  
2783.895102749   0.999269678  
2783.915534321   0.999142487  
2783.935966092   0.998852524  
2783.956397763   0.999033851  
2783.997261105   0.999252945  
2784.017692777   0.998782994  
2784.038124348   0.998641970  
2784.058556119   0.998679685  
2784.078987790   0.998717448  
2784.099419461   0.998806341  
2784.119851132   0.998565362  
2784.140282803   0.999010128  
2784.160714574   0.998950906  
2784.181146145   0.998917775  
2784.201577816   0.998747087  
2784.222009587   0.999671808  
2784.242441158   0.999207227  
2784.262872829   0.998935461  
2784.283304600   0.998977544  
2784.303736271   0.999081654  
2784.324167842   0.999256900  
2784.344599613   0.999024034  
2784.365031284   0.999439902  
2784.385462955   0.998446844  
2784.405894626   0.999029070  
2784.426326297   0.998171280  
2784.446757968   0.999893326  
2784.487621309   0.999080672  
2784.508053080   0.998595421  
2784.528484651   0.998912612  
2784.548916322   0.998139513  
2784.569347992   0.998311829  
2784.589779663   0.998108913  
2784.610211234   0.998164879  
2784.630643005   0.997766436  
